price,year,manufacturer_name,fuel,odometer,gear,country
19900,2018,kia,gas,35823.0,automatic,US
17900,2013,ram,gas,153943.0,automatic,US
14900,2015,subaru,gas,97061.0,automatic,US
20900,2013,ford,gas,152233.0,automatic,US
7400,2007,lexus,gas,181000.0,automatic,US
12900,2015,volkswagen,diesel,74400.0,automatic,US
7500,2011,kia,gas,51000.0,automatic,US
5500,2007,toyota,gas,51000.0,manual,US
35900,2020,ram,gas,21028.0,automatic,US
20300,2017,ford,gas,141625.0,automatic,US
29600,2019,gmc,gas,30052.0,automatic,US
9500,2014,ford,gas,219581.0,automatic,US
36700,2019,ford,gas,14985.0,automatic,US
32800,2018,ford,gas,43479.0,automatic,US
31900,2019,ford,gas,29497.0,automatic,US
34800,2019,ford,gas,31020.0,automatic,US
24900,2016,ford,gas,122238.0,automatic,US
3200,1997,honda,gas,155000.0,automatic,US
17900,2011,chevrolet,gas,133847.0,manual,US
7450,2004,toyota,gas,218000.0,automatic,US
12900,2011,lincoln,gas,77101.0,automatic,US
16900,2015,nissan,gas,78808.0,automatic,US
24500,2006,ford,diesel,147000.0,automatic,US
25990,2008,ram,diesel,172000.0,automatic,US
10500,2010,acura,gas,173000.0,automatic,US
11987,2012,lexus,gas,117000.0,automatic,US
5500,2009,jeep,gas,158000.0,automatic,US
4200,2007,honda,gas,195000.0,automatic,US
9000,2011,audi,gas,102380.0,automatic,US
3650,2009,saturn,gas,127658.0,automatic,US
9000,2015,volkswagen,gas,99000.0,automatic,US
2950,2004,ford,gas,193049.0,automatic,US
7500,2004,gmc,gas,187265.0,automatic,US
16900,2015,chevrolet,gas,71363.0,automatic,US
4200,2009,hyundai,gas,93000.0,automatic,US
9900,2012,mini,gas,108301.0,automatic,US
10900,2012,mini,gas,92000.0,automatic,US
32500,2018,ford,gas,47000.0,automatic,US
5700,2007,jeep,gas,164000.0,automatic,US
28750,2003,chevrolet,diesel,20000.0,automatic,US
24500,2010,toyota,gas,81100.0,automatic,US
15900,2011,mercedes-benz,gas,63000.0,automatic,US
18053,2016,bmw,gas,110000.0,automatic,US
4000,2007,cadillac,gas,141000.0,automatic,US
2000,2005,ford,gas,165000.0,automatic,US
4000,2001,jeep,gas,117000.0,automatic,US
4500,1994,honda,gas,184000.0,manual,US
3000,2005,ford,gas,150000.0,automatic,US
7000,2013,ford,gas,150000.0,automatic,US
8000,2013,kia,gas,89800.0,automatic,US
21250,2002,ford,gas,15962.0,automatic,US
16350,2013,ford,gas,83000.0,automatic,US
4100,2004,nissan,gas,226000.0,automatic,US
8750,2006,subaru,gas,92000.0,manual,US
16500,2013,ford,gas,51500.0,automatic,US
23000,2010,jeep,gas,112000.0,automatic,US
14900,1999,jeep,gas,140212.0,manual,US
11750,2011,chevrolet,gas,170000.0,automatic,US
16990,2010,cadillac,gas,155000.0,automatic,US
15990,2013,ford,gas,87000.0,automatic,US
25990,2017,infiniti,gas,68000.0,automatic,US
12900,2013,ford,gas,216000.0,automatic,US
2000,1995,chevrolet,gas,159000.0,automatic,US
25500,2016,ford,gas,98000.0,automatic,US
27900,2014,jeep,gas,117834.0,automatic,US
4850,2002,gmc,gas,220000.0,automatic,US
26900,2014,jeep,gas,64700.0,automatic,US
24900,2012,jeep,gas,113761.0,automatic,US
23900,2015,jeep,gas,77785.0,manual,US
14200,2016,gmc,gas,135000.0,automatic,US
9990,2013,ford,gas,111000.0,automatic,US
14400,2017,jeep,gas,105000.0,automatic,US
19000,2013,gmc,gas,172699.0,automatic,US
19500,2013,jeep,gas,124055.0,automatic,US
8750,2006,subaru,gas,92000.0,manual,US
24900,2012,jeep,gas,113761.0,automatic,US
26900,2014,jeep,gas,64700.0,automatic,US
21250,2002,ford,gas,15962.0,automatic,US
17000,2019,chevrolet,gas,39000.0,automatic,US
18700,2012,gmc,gas,90000.0,automatic,US
19000,2011,chevrolet,gas,187700.0,automatic,US
10500,2007,ford,gas,183000.0,automatic,US
12500,2015,kia,gas,51752.0,automatic,US
8500,2011,nissan,gas,121000.0,automatic,US
8000,2002,ford,gas,219000.0,automatic,US
5500,2008,dodge,gas,174651.0,automatic,US
9500,2010,honda,gas,166129.0,automatic,US
5500,2003,ford,gas,191000.0,automatic,US
1000,2006,toyota,gas,250000.0,automatic,US
6500,2003,chevrolet,gas,257000.0,automatic,US
21000,2011,jeep,gas,169000.0,automatic,US
5500,2008,ford,gas,150000.0,manual,US
21250,2002,ford,gas,15962.0,automatic,US
6500,2001,dodge,gas,140200.0,automatic,US
4800,2005,chrysler,gas,204000.0,automatic,US
7850,2014,toyota,gas,87321.0,automatic,US
2500,2003,honda,gas,277958.0,automatic,US
2500,2006,dodge,gas,205000.0,automatic,US
6800,2012,toyota,gas,137454.0,manual,US
15900,2013,lexus,gas,81000.0,automatic,US
7800,1999,toyota,gas,242068.0,automatic,US
6500,2007,subaru,gas,148980.0,automatic,US
14900,2007,toyota,gas,163211.0,automatic,US
16495,2008,ford,gas,154069.0,automatic,US
16600,2014,acura,gas,100784.0,automatic,US
15000,2013,chevrolet,gas,75000.0,automatic,US
11000,2007,honda,gas,125000.0,automatic,US
6499,2012,nissan,gas,140000.0,automatic,US
9850,2015,nissan,gas,88500.0,automatic,US
13763,2013,nissan,gas,36959.0,automatic,US
9495,2013,toyota,gas,152000.0,automatic,US
6900,2012,ford,gas,151000.0,automatic,US
10495,2013,ford,gas,109004.0,automatic,US
3000,2000,chevrolet,gas,178000.0,automatic,US
8990,2006,infiniti,gas,133130.0,automatic,US
8990,2006,infiniti,gas,133130.0,automatic,US
8950,2014,toyota,gas,131681.0,automatic,US
13900,2014,nissan,gas,34761.0,automatic,US
9300,2010,chrysler,gas,93809.0,automatic,US
6250,2009,mercedes-benz,gas,132000.0,automatic,US
17900,2005,jeep,gas,117716.0,manual,US
17900,2004,jeep,gas,113661.0,automatic,US
12900,1999,jeep,gas,178587.0,manual,US
25000,2017,ram,gas,96000.0,automatic,US
8900,2011,toyota,gas,164000.0,automatic,US
19900,2018,nissan,gas,66300.0,automatic,US
18600,2015,toyota,gas,114542.0,automatic,US
23500,2016,acura,gas,71000.0,automatic,US
8950,2014,toyota,gas,131681.0,automatic,US
8900,2010,honda,gas,134037.0,automatic,US
6250,2008,honda,gas,150000.0,automatic,US
8999,2014,nissan,gas,73262.0,automatic,US
8800,2007,lexus,gas,153000.0,automatic,US
8700,2014,ford,gas,44000.0,automatic,US
23990,2010,chevrolet,gas,19000.0,manual,US
5999,2009,acura,gas,154000.0,automatic,US
7500,2008,chrysler,gas,191000.0,automatic,US
6900,2003,ford,gas,230000.0,automatic,US
29000,2019,toyota,gas,29500.0,automatic,US
17500,2010,jeep,gas,176000.0,automatic,US
750,2004,saturn,gas,91553.0,automatic,US
6500,2011,hyundai,gas,197000.0,automatic,US
2000,2005,bmw,gas,200000.0,automatic,US
18900,2017,fiat,gas,16200.0,manual,US
8995,2011,nissan,gas,113374.0,automatic,US
12500,1999,toyota,gas,172000.0,automatic,US
10900,2009,nissan,gas,199912.0,automatic,US
8000,2012,kia,gas,132423.0,automatic,US
4995,2007,toyota,gas,166000.0,automatic,US
6499,2012,chevrolet,gas,138000.0,automatic,US
27900,2014,chevrolet,diesel,170525.0,automatic,US
4800,2004,chevrolet,gas,226386.0,automatic,US
10900,2011,ford,gas,158371.0,automatic,US
3100,2006,volvo,gas,200238.0,automatic,US
22200,2015,dodge,gas,57000.0,automatic,US
27500,2005,chevrolet,gas,40000.0,automatic,US
32900,2019,ford,gas,6735.0,automatic,US
11500,2013,chevrolet,gas,228699.0,automatic,US
31900,2019,ford,gas,29497.0,automatic,US
29900,2019,ford,gas,23004.0,automatic,US
9500,2014,ford,gas,219581.0,automatic,US
33900,2019,gmc,gas,24585.0,automatic,US
17200,2014,ford,gas,45026.0,automatic,US
23900,2017,ford,gas,108482.0,automatic,US
22300,2017,ford,gas,113617.0,automatic,US
12995,2013,toyota,gas,68436.0,automatic,US
5500,2003,lexus,gas,202000.0,automatic,US
19999,2019,mitsubishi,gas,32000.0,automatic,US
16700,2010,chevrolet,gas,184222.0,automatic,US
21600,2013,bmw,gas,86611.0,automatic,US
11500,2014,chevrolet,gas,96650.0,automatic,US
10900,2009,nissan,gas,199912.0,automatic,US
5900,2005,acura,gas,148542.0,automatic,US
27800,2018,chevrolet,gas,16920.0,automatic,US
4488,2001,ford,gas,200000.0,automatic,US
9495,2008,toyota,gas,144657.0,automatic,US
9995,2011,nissan,gas,92496.0,automatic,US
6900,2003,ford,gas,247500.0,automatic,US
11500,2012,nissan,gas,150000.0,automatic,US
3300,2009,ford,gas,260000.0,automatic,US
8495,2010,hyundai,gas,125082.0,automatic,US
9995,2014,nissan,gas,111737.0,automatic,US
13495,2015,buick,gas,69430.0,automatic,US
4500,2006,mercedes-benz,gas,158325.0,automatic,US
2800,2004,acura,gas,167500.0,automatic,US
5500,2007,honda,gas,215000.0,automatic,US
16999,2017,infiniti,gas,27000.0,automatic,US
6000,2004,toyota,gas,261000.0,automatic,US
8999,2011,mercedes-benz,gas,103025.0,automatic,US
14995,2014,jeep,gas,126200.0,automatic,US
11995,2012,honda,gas,126810.0,automatic,US
15000,2012,toyota,gas,74000.0,automatic,US
5800,2003,toyota,gas,162000.0,automatic,US
29988,2007,gmc,diesel,163063.0,automatic,US
7995,2011,nissan,gas,91763.0,automatic,US
8995,2012,ford,gas,90468.0,automatic,US
12500,2017,toyota,gas,33591.0,automatic,US
9500,2014,ford,gas,219581.0,automatic,US
16900,2014,ford,gas,35173.0,automatic,US
34500,2019,ford,gas,7646.0,automatic,US
32700,2019,ford,gas,13646.0,automatic,US
32900,2019,ford,gas,6735.0,automatic,US
34800,2019,ford,gas,31020.0,automatic,US
24500,2014,lexus,gas,78050.0,automatic,US
12500,2017,toyota,gas,33591.0,automatic,US
2950,1996,ford,gas,218822.0,automatic,US
3600,2010,buick,gas,155000.0,automatic,US
21500,2014,ford,gas,164000.0,automatic,US
18500,2016,ford,gas,92000.0,automatic,US
7500,2014,volkswagen,gas,130000.0,automatic,US
13945,2013,acura,gas,57189.0,automatic,US
8499,2011,toyota,gas,97318.0,automatic,US
3500,2008,pontiac,gas,150575.0,automatic,US
7200,2010,honda,gas,178000.0,automatic,US
12500,2017,toyota,gas,33591.0,automatic,US
14990,2017,dodge,gas,96577.0,automatic,US
9500,2014,ford,gas,219581.0,automatic,US
29600,2019,gmc,gas,30052.0,automatic,US
20300,2017,ford,gas,141625.0,automatic,US
36700,2019,ford,gas,14985.0,automatic,US
32800,2018,ford,gas,43479.0,automatic,US
31900,2019,ford,gas,29497.0,automatic,US
34800,2019,ford,gas,31020.0,automatic,US
24900,2016,ford,gas,122238.0,automatic,US
7999,2010,honda,gas,147909.0,automatic,US
10358,2012,honda,gas,112988.0,automatic,US
14975,2014,chrysler,gas,61825.0,automatic,US
2800,2001,ford,gas,225000.0,automatic,US
12500,2017,toyota,gas,33591.0,automatic,US
24500,2006,ford,diesel,147000.0,automatic,US
8299,2015,nissan,gas,41000.0,automatic,US
4500,2006,cadillac,gas,100000.0,automatic,US
6400,2006,mercedes-benz,gas,145000.0,automatic,US
21880,2015,ram,diesel,134936.0,automatic,US
4000,2004,ram,gas,250000.0,automatic,US
4500,2002,ford,gas,190500.0,manual,US
7499,2011,hyundai,gas,178000.0,automatic,US
14890,2015,ram,gas,70350.0,automatic,US
13890,2013,ford,gas,179592.0,automatic,US
5599,2009,toyota,gas,73500.0,automatic,US
5599,2010,toyota,gas,210500.0,automatic,US
15890,2015,gmc,gas,181006.0,automatic,US
28900,2016,chevrolet,gas,136589.0,automatic,US
19890,2017,ford,gas,139449.0,automatic,US
9980,2014,ford,gas,124725.0,automatic,US
4800,2007,chevrolet,gas,206000.0,automatic,US
3800,2001,ford,gas,206000.0,automatic,US
3900,2007,chevrolet,gas,220000.0,automatic,US
